t1,t2,t3,t4,t5,total
2.533,6.554,11.58,18.616,30.169,54.754
9.571,15.099,16.608,23.14,44.739,83.876
1.527,1.527,18.112,21.627,51.247,84.357
7.057,12.585,12.585,26.145,42.214,75.326
2.03,2.03,2.03,20.655,38.734,67.842
12.083,15.097,16.102,23.137,33.681,67.798
2.03,2.03,2.03,18.644,30.194,54.777
1.527,3.036,3.036,19.112,34.179,58.759
2.03,3.036,12.584,17.61,31.673,66.796
1.527,2.03,3.036,16.101,34.181,87.365
2.533,4.04,15.093,20.118,42.215,71.317
1.527,3.036,6.051,19.134,31.186,67.31
2.533,2.533,5.549,14.089,27.645,62.759
2.532,5.045,12.584,20.121,39.207,70.317
6.038,12.056,14.565,19.584,24.6,61.208
1.01,4.535,9.067,14.102,39.262,72.44
4.032,9.571,13.6,17.628,41.782,73.953
1.01,6.55,12.089,19.137,44.8,72.45
1.01,7.557,11.585,16.62,42.285,69.935
1.513,8.564,12.089,20.647,37.756,65.904
5.039,6.55,10.075,15.11,39.264,75.958
1.01,7.053,9.068,14.606,41.779,75.962
4.536,8.564,9.068,16.116,35.74,66.905
